"gene","X273614N","X378604X","BC187","DBVPG1106","DBVPG1373","DBVPG6765","L_1374","NCYC361","SK1","UWOPS05_217_3","UWOPS05_227_2","UWOPS83_787_3","UWOPS87_2421","Y12","Y55","YJM975","YJM978","YJM981","YPS128","YPS606","YS2","YS9"
"YCL035C"," 21490.458"," 21490.458"," 21490.458"," 21490.458"," 21490.458"," 21490.458"," 21490.458"," 21490.458"," 21490.458"," 21490.458"," 21490.458"," 21490.458"," 21490.458"," 21490.458"," 21490.458"," 21490.458"," 21490.458"," 21490.458"," 21490.458"," 21490.458"," 21490.458"," 21490.458"
"YDL022W"," 81051.090"," 81051.090"," 81051.090"," 81051.090"," 81051.090"," 81051.090"," 81051.090"," 81051.090"," 81051.090"," 81051.090"," 81051.090"," 81051.090"," 81051.090"," 81051.090"," 81051.090"," 81051.090"," 81051.090"," 81051.090"," 81051.090"," 81051.090"," 81051.090"," 81051.090"
"YDL029W"," 60665.473"," 60665.473"," 60665.473"," 60665.473"," 60665.473"," 60665.473"," 60665.473"," 60665.473"," 60665.473"," 60665.473"," 60665.473"," 60665.473"," 60665.473"," 60665.473"," 60665.473"," 60665.473"," 60665.473"," 60665.473"," 60665.473"," 60665.473"," 60665.473"," 60665.473"
"YDL047W","  7612.479","  7612.479","  7612.479","  7612.479","  7612.479","  7612.479","  7612.479","  7612.479","  7612.479","  7612.479","  7612.479","  7612.479","  7612.479","  7612.479","  7612.479","  7612.479","  7612.479","  7612.479","  7612.479","  7612.479","  7612.479","  7612.479"
"YDL055C","123221.650","123221.650","123221.650","123221.650","123221.650","123221.650","123221.650","123221.650","123221.650","123221.650","123221.650","123221.650","123221.650","123221.650","123221.650","123221.650","123221.650","123221.650","123221.650","123221.650","123221.650","123221.650"
"YDL081C","  9725.490","  9725.490","  9725.490","  9725.490","  9725.490","  9725.490","  9725.490","  9725.490","  9725.490","  9725.490","  9725.490","  9725.490","  9725.490","  9725.490","  9725.490","  9725.490","  9725.490","  9725.490","  9725.490","  9725.490","  9725.490","  9725.490"
"YDL110C","  7511.093","  7511.093","  7511.093","  7511.093","  7511.093","  7511.093","  7511.093","  7511.093","  7511.093","  7511.093","  7511.093","  7511.093","  7511.093","  7511.093","  7511.093","  7511.093","  7511.093","  7511.093","  7511.093","  7511.093","  7511.093","  7511.093"
"YDL130W"," 16326.020"," 16326.020"," 16326.020"," 16326.020"," 16326.020"," 16326.020"," 16326.020"," 16326.020"," 16326.020"," 16326.020"," 16326.020"," 16326.020"," 16326.020"," 16326.020"," 16326.020"," 16326.020"," 16326.020"," 16326.020"," 16326.020"," 16326.020"," 16326.020"," 16326.020"
"YDL131W"," 16082.630"," 16082.630"," 16082.630"," 16082.630"," 16082.630"," 16082.630"," 16082.630"," 16082.630"," 16082.630"," 16082.630"," 16082.630"," 16082.630"," 16082.630"," 16082.630"," 16082.630"," 16082.630"," 16082.630"," 16082.630"," 16082.630"," 16082.630"," 16082.630"," 16082.630"
"YDL137W"," 24376.837"," 24376.837"," 24376.837"," 24376.837"," 24376.837"," 24376.837"," 24376.837"," 24376.837"," 24376.837"," 24376.837"," 24376.837"," 24376.837"," 24376.837"," 24376.837"," 24376.837"," 24376.837"," 24376.837"," 24376.837"," 24376.837"," 24376.837"," 24376.837"," 24376.837"
"YDL181W","  7122.727","  7122.727","  7122.727","  7122.727","  7122.727","  7122.727","  7122.727","  7122.727","  7122.727","  7122.727","  7122.727","  7122.727","  7122.727","  7122.727","  7122.727","  7122.727","  7122.727","  7122.727","  7122.727","  7122.727","  7122.727","  7122.727"
"YDL192W"," 23858.124"," 23858.124"," 23858.124"," 23858.124"," 23858.124"," 23858.124"," 23858.124"," 23858.124"," 23858.124"," 23858.124"," 23858.124"," 23858.124"," 23858.124"," 23858.124"," 23858.124"," 23858.124"," 23858.124"," 23858.124"," 23858.124"," 23858.124"," 23858.124"," 23858.124"
"YDL229W"," 15981.078"," 15981.078"," 15981.078"," 15981.078"," 15981.078"," 15981.078"," 15981.078"," 15981.078"," 15981.078"," 15981.078"," 15981.078"," 15981.078"," 15981.078"," 15981.078"," 15981.078"," 15981.078"," 15981.078"," 15981.078"," 15981.078"," 15981.078"," 15981.078"," 15981.078"
"YDR050C"," 76472.163"," 76472.163"," 76472.163"," 76472.163"," 76472.163"," 76472.163"," 76472.163"," 76472.163"," 76472.163"," 76472.163"," 76472.163"," 76472.163"," 76472.163"," 76472.163"," 76472.163"," 76472.163"," 76472.163"," 76472.163"," 76472.163"," 76472.163"," 76472.163"," 76472.163"
"YDR051C"," 13692.027"," 13692.027"," 13692.027"," 13692.027"," 13692.027"," 13692.027"," 13692.027"," 13692.027"," 13692.027"," 13692.027"," 13692.027"," 13692.027"," 13692.027"," 13692.027"," 13692.027"," 13692.027"," 13692.027"," 13692.027"," 13692.027"," 13692.027"," 13692.027"," 13692.027"
"YDR064W","113674.373","113674.373","113674.373","113674.373","113674.373","113674.373","113674.373","113674.373","113674.373","113674.373","113674.373","113674.373","113674.373","113674.373","113674.373","113674.373","113674.373","113674.373","113674.373","113674.373","113674.373","113674.373"
"YDR071C"," 37455.476"," 37455.476"," 37455.476"," 37455.476"," 37455.476"," 37455.476"," 37455.476"," 37455.476"," 37455.476"," 37455.476"," 37455.476"," 37455.476"," 37455.476"," 37455.476"," 37455.476"," 37455.476"," 37455.476"," 37455.476"," 37455.476"," 37455.476"," 37455.476"," 37455.476"
"YDR086C","  9180.524","  9180.524","  9180.524","  9180.524","  9180.524","  9180.524","  9180.524","  9180.524","  9180.524","  9180.524","  9180.524","  9180.524","  9180.524","  9180.524","  9180.524","  9180.524","  9180.524","  9180.524","  9180.524","  9180.524","  9180.524","  9180.524"
"YDR091C"," 81259.409"," 81259.409"," 81259.409"," 81259.409"," 81259.409"," 81259.409"," 81259.409"," 81259.409"," 81259.409"," 81259.409"," 81259.409"," 81259.409"," 81259.409"," 81259.409"," 81259.409"," 81259.409"," 81259.409"," 81259.409"," 81259.409"," 81259.409"," 81259.409"," 81259.409"
"YDR099W","  7301.558","  7301.558","  7301.558","  7301.558","  7301.558","  7301.558","  7301.558","  7301.558","  7301.558","  7301.558","  7301.558","  7301.558","  7301.558","  7301.558","  7301.558","  7301.558","  7301.558","  7301.558","  7301.558","  7301.558","  7301.558","  7301.558"
"YDR119W-A","  7246.965","  7246.965","  7246.965","  7246.965","  7246.965","  7246.965","  7246.965","  7246.965","  7246.965","  7246.965","  7246.965","  7246.965","  7246.965","  7246.965","  7246.965","  7246.965","  7246.965","  7246.965","  7246.965","  7246.965","  7246.965","  7246.965"
"YDR155C"," 34265.033"," 34265.033"," 34265.033"," 34265.033"," 34265.033"," 34265.033"," 34265.033"," 34265.033"," 34265.033"," 34265.033"," 34265.033"," 34265.033"," 34265.033"," 34265.033"," 34265.033"," 34265.033"," 34265.033"," 34265.033"," 34265.033"," 34265.033"," 34265.033"," 34265.033"
"YDR158W"," 23879.134"," 23879.134"," 23879.134"," 23879.134"," 23879.134"," 23879.134"," 23879.134"," 23879.134"," 23879.134"," 23879.134"," 23879.134"," 23879.134"," 23879.134"," 23879.134"," 23879.134"," 23879.134"," 23879.134"," 23879.134"," 23879.134"," 23879.134"," 23879.134"," 23879.134"
"YDR224C","  5862.236","  5862.236","  5862.236","  5862.236","  5862.236","  5862.236","  5862.236","  5862.236","  5862.236","  5862.236","  5862.236","  5862.236","  5862.236","  5862.236","  5862.236","  5862.236","  5862.236","  5862.236","  5862.236","  5862.236","  5862.236","  5862.236"
"YDR298C"," 76417.510"," 76417.510"," 76417.510"," 76417.510"," 76417.510"," 76417.510"," 76417.510"," 76417.510"," 76417.510"," 76417.510"," 76417.510"," 76417.510"," 76417.510"," 76417.510"," 76417.510"," 76417.510"," 76417.510"," 76417.510"," 76417.510"," 76417.510"," 76417.510"," 76417.510"
"YDR304C"," 22591.845"," 22591.845"," 22591.845"," 22591.845"," 22591.845"," 22591.845"," 22591.845"," 22591.845"," 22591.845"," 22591.845"," 22591.845"," 22591.845"," 22591.845"," 22591.845"," 22591.845"," 22591.845"," 22591.845"," 22591.845"," 22591.845"," 22591.845"," 22591.845"," 22591.845"
"YDR377W"," 15094.838"," 15094.838"," 15094.838"," 15094.838"," 15094.838"," 15094.838"," 15094.838"," 15094.838"," 15094.838"," 15094.838"," 15094.838"," 15094.838"," 15094.838"," 15094.838"," 15094.838"," 15094.838"," 15094.838"," 15094.838"," 15094.838"," 15094.838"," 15094.838"," 15094.838"
"YDR404C"," 16427.941"," 16427.941"," 16427.941"," 16427.941"," 16427.941"," 16427.941"," 16427.941"," 16427.941"," 16427.941"," 16427.941"," 16427.941"," 16427.941"," 16427.941"," 16427.941"," 16427.941"," 16427.941"," 16427.941"," 16427.941"," 16427.941"," 16427.941"," 16427.941"," 16427.941"
"YDR441C","  5881.856","  5881.856","  5881.856","  5881.856","  5881.856","  5881.856","  5881.856","  5881.856","  5881.856","  5881.856","  5881.856","  5881.856","  5881.856","  5881.856","  5881.856","  5881.856","  5881.856","  5881.856","  5881.856","  5881.856","  5881.856","  5881.856"
"YDR454C"," 29293.277"," 29293.277"," 29293.277"," 29293.277"," 29293.277"," 29293.277"," 29293.277"," 29293.277"," 29293.277"," 29293.277"," 29293.277"," 29293.277"," 29293.277"," 29293.277"," 29293.277"," 29293.277"," 29293.277"," 29293.277"," 29293.277"," 29293.277"," 29293.277"," 29293.277"
"YDR510W"," 15063.186"," 15063.186"," 15063.186"," 15063.186"," 15063.186"," 15063.186"," 15063.186"," 15063.186"," 15063.186"," 15063.186"," 15063.186"," 15063.186"," 15063.186"," 15063.186"," 15063.186"," 15063.186"," 15063.186"," 15063.186"," 15063.186"," 15063.186"," 15063.186"," 15063.186"
