"gene","X273614N","X378604X","BC187","DBVPG1106","DBVPG1373","DBVPG6765","L_1374","NCYC361","SK1","UWOPS05_217_3","UWOPS05_227_2","UWOPS83_787_3","UWOPS87_2421","Y12","Y55","YJM975","YJM978","YJM981","YPS128","YPS606","YS2","YS9"
"YGR020C"," 15946.318"," 15946.318"," 15946.318"," 15946.318"," 15946.318"," 15946.318"," 15946.318"," 15946.318"," 15946.318"," 15946.318"," 15946.318"," 15946.318"," 15946.318"," 15946.318"," 15946.318"," 15946.318"," 15946.318"," 15946.318"," 15946.318"," 15946.318"," 15946.318"," 15946.318"
"YNL005C"," 15947.804"," 15947.804"," 15947.804"," 15947.804"," 15947.804"," 15947.804"," 15947.804"," 15947.804"," 15947.804"," 15947.804"," 15947.804"," 15947.804"," 15947.804"," 15947.804"," 15947.804"," 15947.804"," 15947.804"," 15947.804"," 15947.804"," 15947.804"," 15947.804"," 15947.804"
"YBR082C"," 15952.501"," 15952.501"," 15952.501"," 15952.501"," 15952.501"," 15952.501"," 15952.501"," 15952.501"," 15952.501"," 15952.501"," 15952.501"," 15952.501"," 15952.501"," 15952.501"," 15952.501"," 15952.501"," 15952.501"," 15952.501"," 15952.501"," 15952.501"," 15952.501"," 15952.501"
"YBR086C"," 15961.338"," 15961.338"," 15961.338"," 15961.338"," 15961.338"," 15961.338"," 15961.338"," 15961.338"," 15961.338"," 15961.338"," 15961.338"," 15961.338"," 15961.338"," 15961.338"," 15961.338"," 15961.338"," 15961.338"," 15961.338"," 15961.338"," 15961.338"," 15961.338"," 15961.338"
"YCR008W"," 15965.437"," 15965.437"," 15965.437"," 15965.437"," 15965.437"," 15965.437"," 15965.437"," 15965.437"," 15965.437"," 15965.437"," 15965.437"," 15965.437"," 15965.437"," 15965.437"," 15965.437"," 15965.437"," 15965.437"," 15965.437"," 15965.437"," 15965.437"," 15965.437"," 15965.437"
"YCL057C-A"," 15977.856"," 15977.856"," 15977.856"," 15977.856"," 15977.856"," 15977.856"," 15977.856"," 15977.856"," 15977.856"," 15977.856"," 15977.856"," 15977.856"," 15977.856"," 15977.856"," 15977.856"," 15977.856"," 15977.856"," 15977.856"," 15977.856"," 15977.856"," 15977.856"," 15977.856"
"YDL229W"," 15981.078"," 15981.078"," 15981.078"," 15981.078"," 15981.078"," 15981.078"," 15981.078"," 15981.078"," 15981.078"," 15981.078"," 15981.078"," 15981.078"," 15981.078"," 15981.078"," 15981.078"," 15981.078"," 15981.078"," 15981.078"," 15981.078"," 15981.078"," 15981.078"," 15981.078"
"YOR158W"," 15990.714"," 15990.714"," 15990.714"," 15990.714"," 15990.714"," 15990.714"," 15990.714"," 15990.714"," 15990.714"," 15990.714"," 15990.714"," 15990.714"," 15990.714"," 15990.714"," 15990.714"," 15990.714"," 15990.714"," 15990.714"," 15990.714"," 15990.714"," 15990.714"," 15990.714"
"YBL022C"," 15992.680"," 15992.680"," 15992.680"," 15992.680"," 15992.680"," 15992.680"," 15992.680"," 15992.680"," 15992.680"," 15992.680"," 15992.680"," 15992.680"," 15992.680"," 15992.680"," 15992.680"," 15992.680"," 15992.680"," 15992.680"," 15992.680"," 15992.680"," 15992.680"," 15992.680"
"YOR327C"," 15998.573"," 15998.573"," 15998.573"," 15998.573"," 15998.573"," 15998.573"," 15998.573"," 15998.573"," 15998.573"," 15998.573"," 15998.573"," 15998.573"," 15998.573"," 15998.573"," 15998.573"," 15998.573"," 15998.573"," 15998.573"," 15998.573"," 15998.573"," 15998.573"," 15998.573"
