"gene","X273614N","X378604X","BC187","DBVPG1106","DBVPG1373","DBVPG6765","L_1374","NCYC361","SK1","UWOPS05_217_3","UWOPS05_227_2","UWOPS83_787_3","UWOPS87_2421","Y12","Y55","YJM975","YJM978","YJM981","YPS128","YPS606","YS2","YS9"
"YNL035C","  5730.086","  5730.086","  5730.086","  5730.086","  5730.086","  5730.086","  5730.086","  5730.086","  5730.086","  5730.086","  5730.086","  5730.086","  5730.086","  5730.086","  5730.086","  5730.086","  5730.086","  5730.086","  5730.086","  5730.086","  5730.086","  5730.086"
"YDR464W","  5786.676","  5786.676","  5786.676","  5786.676","  5786.676","  5786.676","  5786.676","  5786.676","  5786.676","  5786.676","  5786.676","  5786.676","  5786.676","  5786.676","  5786.676","  5786.676","  5786.676","  5786.676","  5786.676","  5786.676","  5786.676","  5786.676"
"YPL208W","  5807.213","  5807.213","  5807.213","  5807.213","  5807.213","  5807.213","  5807.213","  5807.213","  5807.213","  5807.213","  5807.213","  5807.213","  5807.213","  5807.213","  5807.213","  5807.213","  5807.213","  5807.213","  5807.213","  5807.213","  5807.213","  5807.213"
"YGR100W","  5815.482","  5815.482","  5815.482","  5815.482","  5815.482","  5815.482","  5815.482","  5815.482","  5815.482","  5815.482","  5815.482","  5815.482","  5815.482","  5815.482","  5815.482","  5815.482","  5815.482","  5815.482","  5815.482","  5815.482","  5815.482","  5815.482"
"YDR227W","  5821.595","  5821.595","  5821.595","  5821.595","  5821.595","  5821.595","  5821.595","  5821.595","  5821.595","  5821.595","  5821.595","  5821.595","  5821.595","  5821.595","  5821.595","  5821.595","  5821.595","  5821.595","  5821.595","  5821.595","  5821.595","  5821.595"
"YBR120C","  5849.765","  5849.765","  5849.765","  5849.765","  5849.765","  5849.765","  5849.765","  5849.765","  5849.765","  5849.765","  5849.765","  5849.765","  5849.765","  5849.765","  5849.765","  5849.765","  5849.765","  5849.765","  5849.765","  5849.765","  5849.765","  5849.765"
"YLR345W","  5855.419","  5855.419","  5855.419","  5855.419","  5855.419","  5855.419","  5855.419","  5855.419","  5855.419","  5855.419","  5855.419","  5855.419","  5855.419","  5855.419","  5855.419","  5855.419","  5855.419","  5855.419","  5855.419","  5855.419","  5855.419","  5855.419"
"YDR224C","  5862.236","  5862.236","  5862.236","  5862.236","  5862.236","  5862.236","  5862.236","  5862.236","  5862.236","  5862.236","  5862.236","  5862.236","  5862.236","  5862.236","  5862.236","  5862.236","  5862.236","  5862.236","  5862.236","  5862.236","  5862.236","  5862.236"
"YDR441C","  5881.856","  5881.856","  5881.856","  5881.856","  5881.856","  5881.856","  5881.856","  5881.856","  5881.856","  5881.856","  5881.856","  5881.856","  5881.856","  5881.856","  5881.856","  5881.856","  5881.856","  5881.856","  5881.856","  5881.856","  5881.856","  5881.856"
"YOR176W","  5889.837","  5889.837","  5889.837","  5889.837","  5889.837","  5889.837","  5889.837","  5889.837","  5889.837","  5889.837","  5889.837","  5889.837","  5889.837","  5889.837","  5889.837","  5889.837","  5889.837","  5889.837","  5889.837","  5889.837","  5889.837","  5889.837"
"YER053C","  5906.494","  5906.494","  5906.494","  5906.494","  5906.494","  5906.494","  5906.494","  5906.494","  5906.494","  5906.494","  5906.494","  5906.494","  5906.494","  5906.494","  5906.494","  5906.494","  5906.494","  5906.494","  5906.494","  5906.494","  5906.494","  5906.494"
"YNL099C","  5936.100","  5936.100","  5936.100","  5936.100","  5936.100","  5936.100","  5936.100","  5936.100","  5936.100","  5936.100","  5936.100","  5936.100","  5936.100","  5936.100","  5936.100","  5936.100","  5936.100","  5936.100","  5936.100","  5936.100","  5936.100","  5936.100"
"YJR096W","  5942.544","  5942.544","  5942.544","  5942.544","  5942.544","  5942.544","  5942.544","  5942.544","  5942.544","  5942.544","  5942.544","  5942.544","  5942.544","  5942.544","  5942.544","  5942.544","  5942.544","  5942.544","  5942.544","  5942.544","  5942.544","  5942.544"
"YDL044C","  5954.370","  5954.370","  5954.370","  5954.370","  5954.370","  5954.370","  5954.370","  5954.370","  5954.370","  5954.370","  5954.370","  5954.370","  5954.370","  5954.370","  5954.370","  5954.370","  5954.370","  5954.370","  5954.370","  5954.370","  5954.370","  5954.370"
"YKR058W","  6001.861","  6001.861","  6001.861","  6001.861","  6001.861","  6001.861","  6001.861","  6001.861","  6001.861","  6001.861","  6001.861","  6001.861","  6001.861","  6001.861","  6001.861","  6001.861","  6001.861","  6001.861","  6001.861","  6001.861","  6001.861","  6001.861"
"YML061C","  6008.733","  6008.733","  6008.733","  6008.733","  6008.733","  6008.733","  6008.733","  6008.733","  6008.733","  6008.733","  6008.733","  6008.733","  6008.733","  6008.733","  6008.733","  6008.733","  6008.733","  6008.733","  6008.733","  6008.733","  6008.733","  6008.733"
"YDR009W","  6023.442","  6023.442","  6023.442","  6023.442","  6023.442","  6023.442","  6023.442","  6023.442","  6023.442","  6023.442","  6023.442","  6023.442","  6023.442","  6023.442","  6023.442","  6023.442","  6023.442","  6023.442","  6023.442","  6023.442","  6023.442","  6023.442"
"YNL255C","  6037.742","  6037.742","  6037.742","  6037.742","  6037.742","  6037.742","  6037.742","  6037.742","  6037.742","  6037.742","  6037.742","  6037.742","  6037.742","  6037.742","  6037.742","  6037.742","  6037.742","  6037.742","  6037.742","  6037.742","  6037.742","  6037.742"
"YDR408C","  6041.936","  6041.936","  6041.936","  6041.936","  6041.936","  6041.936","  6041.936","  6041.936","  6041.936","  6041.936","  6041.936","  6041.936","  6041.936","  6041.936","  6041.936","  6041.936","  6041.936","  6041.936","  6041.936","  6041.936","  6041.936","  6041.936"
"YPL111W","  6067.088","  6067.088","  6067.088","  6067.088","  6067.088","  6067.088","  6067.088","  6067.088","  6067.088","  6067.088","  6067.088","  6067.088","  6067.088","  6067.088","  6067.088","  6067.088","  6067.088","  6067.088","  6067.088","  6067.088","  6067.088","  6067.088"
"YFR041C","  6088.026","  6088.026","  6088.026","  6088.026","  6088.026","  6088.026","  6088.026","  6088.026","  6088.026","  6088.026","  6088.026","  6088.026","  6088.026","  6088.026","  6088.026","  6088.026","  6088.026","  6088.026","  6088.026","  6088.026","  6088.026","  6088.026"
"YLR214W","  6133.834","  6133.834","  6133.834","  6133.834","  6133.834","  6133.834","  6133.834","  6133.834","  6133.834","  6133.834","  6133.834","  6133.834","  6133.834","  6133.834","  6133.834","  6133.834","  6133.834","  6133.834","  6133.834","  6133.834","  6133.834","  6133.834"
"YHR031C","  6169.121","  6169.121","  6169.121","  6169.121","  6169.121","  6169.121","  6169.121","  6169.121","  6169.121","  6169.121","  6169.121","  6169.121","  6169.121","  6169.121","  6169.121","  6169.121","  6169.121","  6169.121","  6169.121","  6169.121","  6169.121","  6169.121"
"YKL077W","  6176.965","  6176.965","  6176.965","  6176.965","  6176.965","  6176.965","  6176.965","  6176.965","  6176.965","  6176.965","  6176.965","  6176.965","  6176.965","  6176.965","  6176.965","  6176.965","  6176.965","  6176.965","  6176.965","  6176.965","  6176.965","  6176.965"
"YGR001C","  6187.525","  6187.525","  6187.525","  6187.525","  6187.525","  6187.525","  6187.525","  6187.525","  6187.525","  6187.525","  6187.525","  6187.525","  6187.525","  6187.525","  6187.525","  6187.525","  6187.525","  6187.525","  6187.525","  6187.525","  6187.525","  6187.525"
"YIL003W","  6202.491","  6202.491","  6202.491","  6202.491","  6202.491","  6202.491","  6202.491","  6202.491","  6202.491","  6202.491","  6202.491","  6202.491","  6202.491","  6202.491","  6202.491","  6202.491","  6202.491","  6202.491","  6202.491","  6202.491","  6202.491","  6202.491"
"YER031C","  6205.259","  6205.259","  6205.259","  6205.259","  6205.259","  6205.259","  6205.259","  6205.259","  6205.259","  6205.259","  6205.259","  6205.259","  6205.259","  6205.259","  6205.259","  6205.259","  6205.259","  6205.259","  6205.259","  6205.259","  6205.259","  6205.259"
"YKL079W","  6217.419","  6217.419","  6217.419","  6217.419","  6217.419","  6217.419","  6217.419","  6217.419","  6217.419","  6217.419","  6217.419","  6217.419","  6217.419","  6217.419","  6217.419","  6217.419","  6217.419","  6217.419","  6217.419","  6217.419","  6217.419","  6217.419"
"YDR116C","  6247.026","  6247.026","  6247.026","  6247.026","  6247.026","  6247.026","  6247.026","  6247.026","  6247.026","  6247.026","  6247.026","  6247.026","  6247.026","  6247.026","  6247.026","  6247.026","  6247.026","  6247.026","  6247.026","  6247.026","  6247.026","  6247.026"
"YDL190C","  6301.600","  6301.600","  6301.600","  6301.600","  6301.600","  6301.600","  6301.600","  6301.600","  6301.600","  6301.600","  6301.600","  6301.600","  6301.600","  6301.600","  6301.600","  6301.600","  6301.600","  6301.600","  6301.600","  6301.600","  6301.600","  6301.600"
"YBR059C","  6301.920","  6301.920","  6301.920","  6301.920","  6301.920","  6301.920","  6301.920","  6301.920","  6301.920","  6301.920","  6301.920","  6301.920","  6301.920","  6301.920","  6301.920","  6301.920","  6301.920","  6301.920","  6301.920","  6301.920","  6301.920","  6301.920"
"YMR247C","  6311.717","  6311.717","  6311.717","  6311.717","  6311.717","  6311.717","  6311.717","  6311.717","  6311.717","  6311.717","  6311.717","  6311.717","  6311.717","  6311.717","  6311.717","  6311.717","  6311.717","  6311.717","  6311.717","  6311.717","  6311.717","  6311.717"
"YKR065C","  6317.700","  6317.700","  6317.700","  6317.700","  6317.700","  6317.700","  6317.700","  6317.700","  6317.700","  6317.700","  6317.700","  6317.700","  6317.700","  6317.700","  6317.700","  6317.700","  6317.700","  6317.700","  6317.700","  6317.700","  6317.700","  6317.700"
"YGL161C","  6319.555","  6319.555","  6319.555","  6319.555","  6319.555","  6319.555","  6319.555","  6319.555","  6319.555","  6319.555","  6319.555","  6319.555","  6319.555","  6319.555","  6319.555","  6319.555","  6319.555","  6319.555","  6319.555","  6319.555","  6319.555","  6319.555"
"YGR049W","  6332.448","  6332.448","  6332.448","  6332.448","  6332.448","  6332.448","  6332.448","  6332.448","  6332.448","  6332.448","  6332.448","  6332.448","  6332.448","  6332.448","  6332.448","  6332.448","  6332.448","  6332.448","  6332.448","  6332.448","  6332.448","  6332.448"
"YOR125C","  6339.071","  6339.071","  6339.071","  6339.071","  6339.071","  6339.071","  6339.071","  6339.071","  6339.071","  6339.071","  6339.071","  6339.071","  6339.071","  6339.071","  6339.071","  6339.071","  6339.071","  6339.071","  6339.071","  6339.071","  6339.071","  6339.071"
"YOR322C","  6351.912","  6351.912","  6351.912","  6351.912","  6351.912","  6351.912","  6351.912","  6351.912","  6351.912","  6351.912","  6351.912","  6351.912","  6351.912","  6351.912","  6351.912","  6351.912","  6351.912","  6351.912","  6351.912","  6351.912","  6351.912","  6351.912"
