"gene","X273614N","X378604X","BC187","DBVPG1106","DBVPG1373","DBVPG6765","L_1374","NCYC361","SK1","UWOPS05_217_3","UWOPS05_227_2","UWOPS83_787_3","UWOPS87_2421","Y12","Y55","YJM975","YJM978","YJM981","YPS128","YPS606","YS2","YS9"
"YBR059C","  6301.920","  6301.920","  6301.920","  6301.920","  6301.920","  6301.920","  6301.920","  6301.920","  6301.920","  6301.920","  6301.920","  6301.920","  6301.920","  6301.920","  6301.920","  6301.920","  6301.920","  6301.920","  6301.920","  6301.920","  6301.920","  6301.920"
"YBR079C"," 39203.336"," 39203.336"," 39203.336"," 39203.336"," 39203.336"," 39203.336"," 39203.336"," 39203.336"," 39203.336"," 39203.336"," 39203.336"," 39203.336"," 39203.336"," 39203.336"," 39203.336"," 39203.336"," 39203.336"," 39203.336"," 39203.336"," 39203.336"," 39203.336"," 39203.336"
"YBR080C"," 77467.389"," 77467.389"," 77467.389"," 77467.389"," 77467.389"," 77467.389"," 77467.389"," 77467.389"," 77467.389"," 77467.389"," 77467.389"," 77467.389"," 77467.389"," 77467.389"," 77467.389"," 77467.389"," 77467.389"," 77467.389"," 77467.389"," 77467.389"," 77467.389"," 77467.389"
"YBR084W"," 50977.795"," 50977.795"," 50977.795"," 50977.795"," 50977.795"," 50977.795"," 50977.795"," 50977.795"," 50977.795"," 50977.795"," 50977.795"," 50977.795"," 50977.795"," 50977.795"," 50977.795"," 50977.795"," 50977.795"," 50977.795"," 50977.795"," 50977.795"," 50977.795"," 50977.795"
"YBR086C"," 15961.338"," 15961.338"," 15961.338"," 15961.338"," 15961.338"," 15961.338"," 15961.338"," 15961.338"," 15961.338"," 15961.338"," 15961.338"," 15961.338"," 15961.338"," 15961.338"," 15961.338"," 15961.338"," 15961.338"," 15961.338"," 15961.338"," 15961.338"," 15961.338"," 15961.338"
"YBR093C"," 49661.359"," 49661.359"," 49661.359"," 49661.359"," 49661.359"," 49661.359"," 49661.359"," 49661.359"," 49661.359"," 49661.359"," 49661.359"," 49661.359"," 49661.359"," 49661.359"," 49661.359"," 49661.359"," 49661.359"," 49661.359"," 49661.359"," 49661.359"," 49661.359"," 49661.359"
"YBR115C"," 61658.116"," 61658.116"," 61658.116"," 61658.116"," 61658.116"," 61658.116"," 61658.116"," 61658.116"," 61658.116"," 61658.116"," 61658.116"," 61658.116"," 61658.116"," 61658.116"," 61658.116"," 61658.116"," 61658.116"," 61658.116"," 61658.116"," 61658.116"," 61658.116"," 61658.116"
"YBR121C","125183.155","125183.155","125183.155","125183.155","125183.155","125183.155","125183.155","125183.155","125183.155","125183.155","125183.155","125183.155","125183.155","125183.155","125183.155","125183.155","125183.155","125183.155","125183.155","125183.155","125183.155","125183.155"
"YBR126C","133632.267","133632.267","133632.267","133632.267","133632.267","133632.267","133632.267","133632.267","133632.267","133632.267","133632.267","133632.267","133632.267","133632.267","133632.267","133632.267","133632.267","133632.267","133632.267","133632.267","133632.267","133632.267"
"YBR127C","111710.432","111710.432","111710.432","111710.432","111710.432","111710.432","111710.432","111710.432","111710.432","111710.432","111710.432","111710.432","111710.432","111710.432","111710.432","111710.432","111710.432","111710.432","111710.432","111710.432","111710.432","111710.432"
