,273614N,378604X,BC187,DBVPG1106,DBVPG1373,DBVPG6765,L_1374,NCYC361,SK1,UWOPS05_217_3,UWOPS05_227_2,UWOPS83_787_3,UWOPS87_2421,Y12,Y55,YJM975,YJM978,YJM981,YPS128,YPS606,YS2,YS9
Q0045,14.3742787643717,14.315336732734,13.8288769054035,13.922617629827,12.8805896852448,14.2493997016863,13.934430870211,12.9955121436046,14.2812653045342,14.6108797448574,14.4288583199011,14.5181708583623,13.6727991536149,13.627389124574,14.076215163897,12.3955357597694,12.9525195782651,13.5785853963641,14.3362993430005,14.4981871317478,12.572047727826,13.596394757003
Q0065,10.4757894866536,10.040719885071,10.7006147586854,9.71338793417037,9.36887349006287,9.11418029078357,8.53727057613056,9.39933462860759,9.19089411589106,9.72673194568887,9.99788723884266,10.6304206334678,9.64130327616196,9.60924714373922,9.63026077360929,8.36095512326968,9.62337412452337,9.46573068959749,10.0062519288049,10.0644156083155,9.06794689457812,11.0370831415302
Q0085,25.8022638525544,26.513682296073398,25.3950028275836,25.8874700847696,23.5462011407682,25.3061960393673,25.667110966961,23.9626183135338,25.5558194662013,26.3987209136101,26.3056367121414,26.190456993500298,25.1927979926497,24.3543073510907,25.2469954509534,23.3988472260845,23.6298957502224,24.861418486233397,25.6562075113065,25.9624443153188,23.343621902869998,24.709174359412
Q0140,10.7829110410681,9.06768033130862,9.70579012752517,9.94360419104103,6.80213595263625,9.12748330883912,8.89170802198911,7.83313941083222,9.85665611934404,10.0432100912864,10.0116894632662,10.7912006605835,10.092199239684,9.01819668949941,9.41067690896167,7.14503415164072,8.18754762791658,10.0459647867165,9.64178206745907,10.1749096144436,8.00376344489045,10.1471045352131
Q0250,42.7385692855734,42.555367791821794,40.5589117736763,41.576329445136295,38.8769411248794,41.65372694504531,41.3455185757987,39.1613599033221,42.257603865412705,43.161087157642896,42.4206433602307,42.7641469080216,40.4479041181917,40.4282321332753,41.413680536860994,37.7015600475964,38.6836495722522,40.3239382933275,42.4105713172426,43.0202038626096,37.9884832669162,40.2758250962168
YAL001C,11.4377689972617,10.8802126956374,10.6893425802001,10.7940618817044,9.95712869398007,10.9672379572015,10.730006364385,10.0243040494829,11.0914284184569,12.0266179236363,11.0209934232999,11.193299304452,10.6688139930327,10.4822962211724,10.9128014284673,8.60192910456495,9.3063177548713,10.4494355806653,11.0942191002226,10.7075715552101,9.3003623354628,10.6435582024182
YAL003W,102.383104437038,97.26626462598988,102.08042004220229,100.00781306520427,102.25237118592169,98.69116403944436,100.9419516834113,100.82167683503927,101.194707771965,101.9412090264343,99.62511797636233,100.7578106393398,101.94379667236876,103.5624821296333,102.7682803492147,102.15285570354561,98.37362171537367,104.50249827425766,99.87123338373937,100.26551897824388,102.4219416701094,103.26231997041869
YAL005C,89.05468052368151,93.74320993974791,87.32375467353069,83.826060269992,84.783381039866,74.72524522548116,81.97764569962652,82.9720694813483,84.8833835757733,86.5966339081057,84.79491495737341,82.01824269369789,87.9245761284062,84.0896928131593,84.68375950883153,83.5272816560651,87.08184341519409,82.3547549251415,85.6526710155705,83.4795180412287,82.1732233966776,85.91062529659509
YAL007C,11.7253083033933,11.5773909171148,11.9087923895976,11.7923907022374,11.1577953293847,11.8045062933484,11.5447739754419,11.6930953231247,11.4551629019457,11.5830127843117,11.8191497352142,11.3202068875341,11.982900798492,11.7179230997454,11.7886792402311,11.8603975540852,11.4640594889545,11.9085303785417,11.737843259429,11.7798313552732,11.7227191127545,11.9048895153787
YAL012W,83.70750977030258,84.55082668197987,88.39974645968319,84.45682449404336,87.07537439444953,89.30185801624866,87.49739906576372,88.82497755785855,90.05820779578616,84.99021276762075,86.42793983917166,86.52635316218674,85.45921529931897,89.40694507945197,87.80879816211933,87.19475112456513,91.23702291661508,89.31785011735913,85.9211446556738,87.15539439543504,85.83435133742537,91.57315969045412
