gene,273614N,378604X,BC187,DBVPG1106,DBVPG1373,DBVPG6765,L_1374,NCYC361,SK1,UWOPS05_217_3,UWOPS05_227_2,UWOPS83_787_3,UWOPS87_2421,Y12,Y55,YJM975,YJM978,YJM981,YPS128,YPS606,YS2,YS9
YKL150W,10906.907722705177,11081.427725037849,10812.236114278421,10767.748962804017,10743.001591406262,10121.65026148165,10903.21543444414,10512.221639482725,11092.493516603785,10947.684209059653,10810.696587040147,10874.362614711757,11250.850222925144,10890.888354434976,10950.396402471435,10758.83524764634,10834.911155410022,10475.327563185941,10827.715644282782,10867.230653590725,11087.314876778508,10513.189663620426
YKL151C,2391.425682608897,2553.839153983317,2387.340444208689,2456.496856855599,2469.730059538236,2451.27789188446,2432.607453130332,2414.2605811997114,2399.9930174037563,2365.546136050454,2299.2383947535113,2467.408742833769,2483.348522538667,2366.8361094315883,2404.1049068853545,2490.511254607841,2446.314549097357,2187.1742138611576,2447.5955045956784,2476.661194663091,2441.4079723514924,2480.7692934942
YKL157W,4175.821392437176,4056.739549849688,4204.056543573993,4168.864957954637,4120.6548150779245,4202.8531723426095,4223.351016456399,4036.0756018764855,4359.83112760571,4425.482395211653,4173.531315138929,4238.881250726103,4166.057247544667,4236.617890815764,4043.784002250708,4093.3437843453507,4360.144270054664,4237.2912287369945,4191.086260025718,4175.438236467233,4089.8801354718853,4196.591227504565
YKL165C,4860.724177282144,4852.753757276188,4826.172586116174,4784.140785666382,4807.999821199134,4941.207195835011,4761.743277471356,4801.505583203745,4733.404649326464,4996.38805466124,4872.396556051444,4862.452687613745,4850.024101874455,4959.1196600619205,4782.416555829766,4912.243026884467,4696.990839721771,4688.008263504374,4782.750646196398,4806.023391765799,4905.718254616493,4871.840674176995
YKL182W,70942.16679652716,65492.71789517299,69435.70832776628,68299.36271409443,66493.09356937328,68627.10046068829,66498.72335896452,67001.78144274504,69138.17076363099,68733.24274387902,68007.67687124154,69893.8910157909,69678.34325291157,69347.52525562934,69013.57694326606,66292.36231982133,68656.02180253711,68400.34188671026,68452.39977251562,68791.15351300816,68802.87788999811,67855.19641239462
YKL186C,906.3497998744974,914.0287684322079,897.5175721410033,916.2772631833684,910.25155040126,902.2422496956376,924.3085139363118,927.9221264248596,902.648714833331,901.7988310448213,869.3513706772176,890.5442254927922,940.0951515046844,923.6258689791417,887.6778760371692,921.6097913499964,900.9697842127306,940.0529352469143,886.8334340769652,874.4890568522769,912.0524343902624,900.1829278706192
YKL193C,888.3981131376912,858.6930111083694,938.7706261873822,884.4477663236171,873.9948103752306,874.1758549960837,833.3143597540193,859.755179433489,868.8840411899562,834.8519332895886,867.9950233004519,883.8506576942668,902.4148789101804,814.6119362589403,857.2821120779422,872.4483597720682,888.0901219191287,873.5035608319071,895.8456294965863,871.2117356185232,908.7138079072383,885.8333161601431
YKL195W,1932.6185899485033,1987.7959723940269,1942.3554694411177,1803.0258808924466,1703.4263544478338,1815.807374775532,1775.2431586004016,1717.626985806345,1872.939864777217,1990.625826068266,1849.116795563512,1949.8308514530972,1980.041251784052,1662.904020395654,1845.6492611225449,1642.2319404722175,1648.1911831543928,1802.5726170647465,1926.250116308393,1747.2306856080927,1714.1013998900173,1883.7070207517672
YKL210W,5635.677311724284,6325.963761204398,5985.7884914566785,5710.838490991479,5800.000938952216,5986.96861708484,6044.175481029557,6031.7311788967945,6144.506019113287,5756.448937842677,5928.137126156345,5747.221739436925,5603.794874863415,5785.146740298672,5963.213504552788,5957.823487336389,6051.140961758503,5787.3274374638295,5838.302675210102,5835.830660706508,5875.514050252074,6002.920661158807
YKL211C,1075.0720121258853,930.0599941516383,847.1718133701007,930.0715395851573,936.9377239656417,908.8707436661329,842.5039238313109,880.3136938518907,954.8803437022076,979.2442394134404,910.7548631228804,891.5486921345582,953.1552262881154,844.7712188340262,1021.5893237254304,835.3305935816122,918.3414134394307,899.2725580088702,967.3734342226677,973.6923480460221,874.0504668149373,878.0294047695974
YKL212W,8249.606165144385,8355.309504346276,8124.737546329113,8230.672111991096,8191.1333118330185,8185.823909315105,8009.096728372871,8216.132616374482,7980.038680976026,8233.121169987777,8230.849168350447,8191.649714182922,8230.826563111212,8346.792496555574,8296.292048769243,8282.624285256647,8023.068028912279,8141.486966722237,8269.389390584398,8294.115752671316,8358.461484498897,8340.537522467643
YKL213C,777.4442641785989,852.9954862120195,791.5388259337607,774.4995214690399,785.5167122521733,848.8434496901161,813.1491787747192,841.3984410182768,817.3246378014953,868.1629470139516,881.7468615036926,756.4884674017418,778.8110004326128,792.6435920349554,832.9624233696816,818.8431852683593,813.5222045067849,849.1699997215284,805.6654649684398,824.5174652207297,835.0481897907463,808.7309214101201
YKL214C,1069.550208323303,960.3108483498944,1051.6425744146015,1011.3992093646353,1090.1176384911735,1226.6193427537887,1060.7251020841154,1032.8108561493054,1208.6197352279148,1053.0330004328805,970.551522449722,942.3510995210504,1019.6846634759123,1055.500913451673,1018.6765332379041,982.9672137892552,985.808353251896,1000.8343886815583,940.5246846581813,1093.0179104792344,1016.5864747176953,1140.8657193128583
YKR001C,10300.309467086472,10739.157948683884,10040.769834756002,10458.335401645498,10369.872059740395,10520.677720546839,10080.881416380396,10443.03269321385,10426.60210762852,10332.122498479348,10636.911370104945,10542.246108564621,10240.654549728111,10770.947718567697,10186.216823613122,10512.975520719574,10219.510025956428,10462.037288778383,10523.128173651849,10808.626026941194,10420.561935458127,10634.990518368415
YKR016W,6104.6283939658115,6291.755905994687,5943.833512789733,6034.860833966717,6075.513889052413,6295.451401472649,6107.573017200592,6278.955216959915,6042.7866280588205,6164.628927830785,6359.3594988059285,6242.6976266544825,5938.999056781601,6396.501630351629,6145.420087893447,6198.709582309225,5899.696868219746,6000.328807610935,6273.4813964345485,6257.180874338092,6196.40440038284,5987.6639108174795
YKR018C,2759.470990177659,2813.223247366725,2752.2099513745043,2774.2449451622792,2777.5759221254134,2721.9509010089205,2680.331319407245,2772.41229135589,2675.900643472956,2788.0341473839985,2738.454769978633,2792.561046383149,2696.1125206706506,2765.005641959524,2685.7835046908954,2813.846074717057,2694.8725129378618,2608.427667101233,2776.793680571047,2778.975115226379,2823.946915213427,2806.440949926509
