,273614N,378604X,BC187,DBVPG1106,DBVPG1373,DBVPG6765,L_1374,NCYC361,SK1,UWOPS05_217_3,UWOPS05_227_2,UWOPS83_787_3,UWOPS87_2421,Y12,Y55,YJM975,YJM978,YJM981,YPS128,YPS606,YS2,YS9
YFR001W,-13695.507967032967,-13695.507967032967,-13426.507967032967,-13695.507967032967,-13695.507967032967,-13309.507967032967,-13180.548659673661,-13695.507967032967,-13180.507967032967,-13164.548659673661,-13164.548659673661,-13164.548659673661,-13164.548659673661,-13655.1,-13180.507967032967,-13695.507967032967,-13695.507967032967,-13695.507967032967,-13309.507967032967,-13309.507967032967,-13695.507967032967,-13309.507967032967
YFR002W,-67977.52173913043,-68174.52173913043,-67977.52173913043,-68203.83333333333,-67977.52173913043,-68180.83333333333,-68700.83333333333,-67977.52173913043,-68572.83333333333,-68636.52173913043,-68636.52173913043,-68960.83333333333,-68960.83333333333,-68990.83333333333,-68572.83333333333,-67977.52173913043,-67977.52173913043,-67977.52173913043,-68230.52173913043,-68224.52173913043,-67977.52173913043,-68576.14285714286
YFR004W,-27908.428571428572,-27984.428571428572,-27908.428571428572,-27908.428571428572,-27908.428571428572,-27908.428571428572,-27908.428571428572,-27908.428571428572,-27326.748974008202,-27908.428571428572,-27908.428571428572,-27908.428571428572,-27908.428571428572,-27908.428571428572,-27326.748974008202,-27908.428571428572,-27908.428571428572,-27908.428571428572,-27908.428571428572,-27908.428571428572,-27908.428571428572,-27442.583333333332
YFR009W,-68360.44696969696,-68499.44696969696,-68281.44696969696,-68183.44696969696,-68360.44696969696,-68192.44696969696,-68281.44696969696,-68360.44696969696,-67982.44696969696,-67871.44696969696,-67871.44696969696,-68043.44696969696,-68000.44696969696,-68227.44696969696,-67982.44696969696,-68360.44696969696,-68360.44696969696,-68360.44696969696,-68405.44696969696,-68405.44696969696,-68360.44696969696,-68370.44696969696
YFR010W,-40091.08095238095,-40032.9126984127,-40091.08095238095,-40091.08095238095,-40091.08095238095,-40091.08095238095,-40091.08095238095,-40091.08095238095,-39899.9126984127,-39565.9126984127,-39565.9126984127,-39813.9126984127,-39896.9126984127,-40032.9126984127,-39899.9126984127,-40091.08095238095,-40091.08095238095,-40091.08095238095,-40027.9126984127,-40027.9126984127,-40091.08095238095,-40030.67619047618
YFR015C,-68187.37092352094,-67910.04581225227,-69074.24137529137,-68187.37092352094,-68225.62965367967,-67985.37092352094,-68187.37092352094,-68225.62965367967,-68630.2541958042,-68813.08936063937,-68813.08936063937,-68308.37269397269,-69214.37269397269,-67766.76852730602,-68630.2541958042,-68225.62965367967,-68225.62965367967,-68225.62965367967,-68124.37269397269,-68124.37269397269,-68225.62965367967,-67434.46536796537
YFR024C-A,-45965.09199134199,-45973.59199134199,-45965.09199134199,-45185.473092998946,-45965.09199134199,-45965.09199134199,-45965.09199134199,-45965.09199134199,-46734.98333333332,-46522.24025974026,-46522.24025974026,-45775.3286485545,-46735.13333333333,-46581.34999999999,-46734.98333333332,-45965.09199134199,-45965.09199134199,-45965.09199134199,-45775.3286485545,-45775.3286485545,-45965.09199134199,-45878.09199134199
YFR028C,-47705.204545454544,-47705.204545454544,-48117.291991342,-48117.291991342,-47957.65584415585,-47705.204545454544,-47924.291991342,-47957.65584415585,-48863.89727272728,-48705.72863247863,-48705.72863247863,-48809.89727272728,-48476.08783783784,-48391.72863247863,-48863.89727272728,-47957.65584415585,-47924.291991342,-47924.291991342,-48736.72863247863,-48736.72863247863,-47957.65584415585,-47705.204545454544
YFR030W,-89934.0190964332,-91470.07627627626,-91409.07627627626,-90624.62886608412,-89572.0190964332,-91409.07627627626,-91409.07627627626,-89572.0190964332,-91508.23498817965,-91627.94036894036,-91627.94036894036,-92720.64023464457,-89946.41037553232,-91774.07627627626,-91508.23498817965,-89572.0190964332,-91409.07627627626,-91409.07627627626,-90781.61037553231,-90781.61037553231,-89572.0190964332,-91468.07627627626
YFR032C-A,-6132.380158730159,-5798.571428571428,-6132.380158730159,-5750.571428571428,-6039.571428571428,-6006.571428571428,-6006.571428571428,-6039.571428571428,-6067.20202020202,-5573.224242424243,-5573.224242424243,-5798.571428571428,-5798.571428571428,-5798.571428571428,-6006.571428571428,-6039.571428571428,-6132.380158730159,-6132.380158730159,-5798.571428571428,-5798.571428571428,-6039.571428571428,-6169.850326797386
